NAME,CONSTITUENCY,AS
Abdul Hameed Master,Vallikunnu,0
A C Moideen,Kunnamkulam,0
Ahammed Devarkovil,Kozhikode (South),0
A.K.M Ashraf,Manjeshwar,0
A K Saseendran,Elathur,0
Anoop Jacob,Piravom,0
A N Shamseer,Thalassery,0
Antony John,Kothamangalam,0
Antony Raju,Thiruvananthapuram,0
Anwar Sadath,Aluva,0
A P Anil Kumar,Wandoor,0
A Prabhakaran,Malampuzha,0
A Raja,Devikulam,0
Asha C K,Vaikom,0
C C Mukundan,Nattika,0
Chittayam Gopakumar,Adoor,0
C H Kunhambu,Udma,0
C K Hareendran,Parassala,0
C R Mahesh,Karunagapally,0
Daleema,Aroor,0
D K Murali,Vamanapuram,0
DR. K T Jaleel,Thavanur,0
DR. Mathew Kuzhalnadan,Muvattupuzha,0
Dr. M K Muneer,Koduvally,0
DR. N Jayaraj,Kanjirappally,0
Dr. Sujith Vijayanpillai,Chavara,0
E Chandrasekharan,Kanhangad,0
E K Vijayan,Nadapuram,0
Eldose P Kunnapillil,Perumbavoor,0
E T Taison Master,Kaipamangalam,0
G R Anil,Nedumangad,0
G S Jayalal,Chathannoor,0
G Stephen,Aruvikkara,0
H Salam,Ambalapuzha,0
I B Satheesh,Kattakkada,0
I C Balakrishnan,Sulthanbathery,0
J Chinchurani,Chadayamangalam,0
Job Maichil,Changanassery,0
Kadakampally Surendran,Kazhakkoottam,0
Kanathil Jameela,Quilandy,0
K Ansalan,Neyyattinkara,0
K Babu (Nemmara),Nenmara,0
K. Babu  (Thrippunithura),Thripunithura,0
K B Ganesh Kumar,Pathanapuram,0
K D Prasenan,Alathur,0
K J Maxy,Kochi,0
K K Ramachandran,Puthukkad,0
K. K. Rema,Vatakara,0
K Krishnankutty,Chittur,0
K K Shailaja Teacher,Mattannur,0
K.M. Sachindev,Balusseri,0
K N Balagopal,Kottarakkara,0
K N Unnikrishnan,Vypeen,0
Kovoor  Kunjumon,Kunnathur,0
K.P.A. Majeed,Tirurangadi,0
K P Kunhammed Kutty Master,Kuttiady,0
K P Mohanan,Kuthuparamba,0
K Premkumar,Ottappalam,0
K Radhakrishnan,Chelakkara,0
K Rajan,Ollur,0
K U Jenish Kumar,Konni,0
Kurukkoli Moideen,Tirur,0
K V Sumesh,Azhikode,0
Linto Joseph,Thiruvambady,0
Mani C Kappan,Pala,0
Manjalamkuzhi  Ali,Mankada,0
Mathew T Thomas,Thiruvalla,0
M M Mani,Udumbanchola,0
M Mukesh,Kollam,0
M Noushad,Eravipuram,0
Mons Joseph,Kaduthuruthy,0
M Rajagopalan,Trikaripur,0
M S Arun Kumar,Mavelikkara,0
Muhammed Muhassin P,Pattambi,0
Murali Perunelly,Manalur,0
M.V. Govindan Master,Taliparamba,0
M Vijin,Kalliasseri,0
M Vincent,Kovalam,0
Najeeb Kanthapuram,Perinthalmanna,0
N A Nellikkunnu,Kasaragod,0
N K Akbar,Guruvayoor,0
N Samsudheen,Mannarkkad,0
Oommen Chandy,Puthuppally,0
O R Kelu,Mananthavady,0
O S Ambika,Attingal,0
P.A. Mohamed Riyas,Beypore,0
P Balachandran,Thrissur,0
P C Vishnunadh,Kundara,0
Pinarayi Vijayan,Dharmadam,0
P J Joseph,Thodupuzha,0
P K Basheer,Ernad,0
P K Kunhalikutty,Vengara,0
P Mammikkutty,Shornur,0
P Nandakumar,Ponnani,0
P P Chitharanjan,Alappuzha,0
P Prasad,Cherthala,0
P P Sumod,Tarur,0
P Rajeev,Kalamassery,0
Pramod Narayan,Ranni,0
(Prof.) Abid Hussain Thangal,Kottakkal,0
Prof. R. Bindu,Irinjalakkuda,0
P S Supal,Punalur,0
P T A Rahim,Kunnamangalam,0
P Ubaidulla,Malappuram,0
P V Anvar,Nilambur,0
P V Sreenijin,Kunnathunad,0
Ramachandran Kadannappalli,Kannur,0
Ramesh Chennithala,Haripad,0
Roji M John,Angamaly,0
Roshy Augustine,Idukki,0
Sajeev Joseph,Irikkur,0
Saji Cheriyan,Chengannur,0
Saneeshkumar Joseph,Chalakkudy,0
Santhakumari  K,Kongad,0
Sebastian Kulathunkal,Poonjar,0
Shafi Parambil,Palakkad,0
Shri. M.B. Rajesh,Thrithala,0
Smt. Uma Thomas,Thrikkakara,0
Sunny Joseph,Peravoor,0
Thiruvanchoor Radhakrishnan,Kottayam,0
Thomas K Thomas,Kuttanad,0
Thottathil Raveendran,Kozhikode (North),0
T.I. Madhusoodanan,Payyannur,0
T J Vinod,Ernakulam,0
T P Ramakrishnan,Perambra,0
T Siddiqu,Kalpetta,0
T V Ibrahim,Kondotty,0
U A Latheef,Manjeri,0
U Prathibha,Kayamkulam,0
V Abdurahiman,Tanur,0
Vazhoor Soman,Peerumade,0
V D Satheesan,Paravur,0
Veena George,Aranmula,0
V Joy,Varkala,0
V K Prasanth,Vattiyoorkavu,0
V N Vasavan,Ettumanoor,0
V R Sunil Kumar,Kodungallur,0
V Sasi,Chirayinkeezhu,0
V Sivankutty,Nemom,0
Xavier Chittilappilly,Wadakkanchery,0
